nome,squadra,pv,mv,fm
Forson O.,MON,2.0,5.75,5.75
Kossounou,ATA,3.0,5.67,5.67
Gaetano,ATA,3.0,5.67,5.67
Deiola,CAG,3.0,6.0,5.67
Oulai,FIO,3.0,5.67,5.67
Brescianini,FIO,3.0,5.67,5.67
Frendrup,GEN,3.0,5.67,5.67
Celik,JUV,3.0,5.83,5.67
Douglas Luiz,JUV,3.0,5.67,5.67
Provstgaard,LAZ,3.0,5.83,5.67
Cancellieri,LAZ,3.0,5.83,5.67
Isaksen,LAZ,3.0,5.83,5.67
Pierotti,LEC,3.0,5.67,5.67
Loftus-Cheek,MIL,3.0,5.83,5.67
Kouadio,MON,3.0,5.83,5.67
Carboni A.,MON,3.0,5.67,5.67
Spinazzola,NAP,3.0,5.67,5.67
Gineitis,TOR,3.0,5.5,5.67
Simeone,TOR,3.0,5.67,5.67
Haps,VEN,3.0,5.83,5.67
Perez K.,VEN,3.0,5.83,5.67
Tourè E.,PAR,3.0,5.67,5.67
Bernasconi,ATA,1.0,5.5,5.5
Pasalic,ATA,3.0,5.5,5.5
Amondarain,BOL,1.0,5.5,5.5
Moro N.,BOL,1.0,5.5,5.5
Rowe,ATA,1.0,5.5,5.5
Odgaard,BOL,3.0,5.67,5.5
Smolcic I.,COM,1.0,5.5,5.5
Rodriguez Je.,COM,1.0,5.5,5.5
Viery,FIO,2.0,5.5,5.5
Fabbian,PAR,1.0,5.5,5.5
Vasquez,GEN,3.0,5.5,5.5
Ellertsson,GEN,3.0,5.5,5.5
Meichtry,GEN,2.0,5.5,5.5
Vitinha O.,GEN,3.0,5.5,5.5
Cambiaso,JUV,1.0,6.0,5.5
Alajbegovic,JUV,2.0,5.5,5.5
Yildiz,JUV,1.0,5.5,5.5
Dele-Bashiru,LAZ,1.0,5.5,5.5
Gallo,LEC,2.0,5.5,5.5
Ndaba,LEC,2.0,5.5,5.5
Folorunsho,MON,2.0,5.75,5.5
Neres,NAP,1.0,5.5,5.5
Troilo,PAR,3.0,5.67,5.5
Cremaschi,PAR,1.0,5.5,5.5
Keita M.,PAR,3.0,5.67,5.5
Almqvist,PAR,2.0,5.75,5.5
Frigan,PAR,1.0,5.5,5.5
Elphege,PAR,1.0,5.5,5.5
Ilkhan,TOR,1.0,5.5,5.5
Aboukhlal,TOR,2.0,5.5,5.5
Kulenovic,TOR,1.0,5.5,5.5
Kabasele,UDI,1.0,5.5,5.5
Unai Gomez,UDI,2.0,5.5,5.5
Sohm,VEN,2.0,5.75,5.5
Adams A.,VEN,3.0,5.5,5.5
Lauberbach,VEN,1.0,5.5,5.5
Rrahmani Al.,VEN,1.0,5.5,5.5
Sow,GEN,3.0,5.67,5.5
Schmid,FRO,3.0,5.83,5.5
Foe Ondoa,MON,1.0,5.5,5.5
Elmas,ATA,2.0,5.5,5.5
Fatah,LEC,2.0,5.5,5.5
Drobnic,PAR,1.0,5.5,5.5
Theate,BOL,1.0,5.5,5.5
Gagliardini,CAG,1.0,5.5,5.5
Monteiro J.,LEC,1.0,5.5,5.5
