id,ruolo,nome,squadra,qta,fvm
p_lontani,A,Lontani,PAR,5.0,17.0
p_tourè_i,?,Tourè I.,MON,5.0,14.0
p_patterson,D,Patterson,TOR,5.0,12.0
p_rodriguez_r,D,Rodriguez R.,TOR,5.0,12.0
p_kossounou,D,Kossounou,ATA,4.0,12.0
p_vitik,D,Vitik,BOL,4.0,10.0
p_amondarain,C,Amondarain,BOL,4.0,10.0
p_moro_n,C,Moro N.,BOL,4.0,14.0
p_zappa*,D,Zappa*,CAG,4.0,7.0
p_deiola,C,Deiola,CAG,4.0,8.0
p_prati*,C,Prati*,CAG,4.0,7.0
p_borrelli*,?,Borrelli*,CAG,4.0,9.0
p_smolcic_i,D,Smolcic I.,COM,4.0,10.0
p_addai,A,Addai,COM,4.0,10.0
p_morata*,?,Morata*,COM,4.0,7.0
p_parisi,D,Parisi,FIO,4.0,10.0
p_brescianini,C,Brescianini,FIO,4.0,11.0
p_fabbian,C,Fabbian,PAR,4.0,8.0
p_cittadini,D,Cittadini,FRO,4.0,8.0
p_cichella,C,Cichella,FRO,4.0,12.0
p_koutsoupias*,C,Koutsoupias*,FRO,4.0,11.0
p_martin*,D,Martin*,GEN,4.0,8.0
p_amorim,C,Amorim,GEN,4.0,11.0
p_traorè_hj,?,Traorè Hj.,GEN,4.0,11.0
p_mkhitaryan,C,Mkhitaryan,INT,4.0,9.0
p_douglas_luiz,C,Douglas Luiz,JUV,4.0,15.0
p_provstgaard,D,Provstgaard,LAZ,4.0,13.0
p_floriani_mussolini,D,Floriani Mussolini,LAZ,4.0,10.0
p_dele-bashiru,C,Dele-Bashiru,LAZ,4.0,13.0
p_siebert,D,Siebert,LEC,4.0,12.0
p_ngom,C,Ngom,LEC,4.0,12.0
p_berisha_m,C,Berisha M.,LEC,4.0,12.0
p_gandelman,C,Gandelman,LEC,4.0,10.0
p_n'dri,A,N'Dri,LEC,4.0,12.0
p_fofana_y*,C,Fofana Y.*,MIL,4.0,10.0
p_musah,C,Musah,MIL,4.0,16.0
p_loftus-cheek,C,Loftus-Cheek,MIL,4.0,15.0
p_camarda,?,Camarda,MIL,4.0,20.0
p_thiam,P,Thiam,MON,4.0,5.0
p_delli_carri*,D,Delli Carri*,MON,4.0,11.0
p_lucchesi,D,Lucchesi,MON,4.0,11.0
p_kouadio,D,Kouadio,MON,4.0,14.0
p_carboni_a,D,Carboni A.,MON,4.0,9.0
p_milinkovic-savic_v,P,Milinkovic-Savic V.,NAP,4.0,5.0
p_olivera,D,Olivera,NAP,4.0,13.0
p_folorunsho,C,Folorunsho,MON,4.0,17.0
p_troilo,D,Troilo,PAR,4.0,14.0
p_valenti,D,Valenti,PAR,4.0,10.0
p_britschgi,D,Britschgi,PAR,4.0,10.0
p_almqvist,A,Almqvist,PAR,4.0,11.0
p_frigan,A,Frigan,PAR,4.0,6.0
p_rensch,D,Rensch,ROM,4.0,14.0
p_el_aynaoui*,C,El Aynaoui*,ROM,4.0,13.0
p_ilkhan,C,Ilkhan,TOR,4.0,8.0
p_kulenovic,?,Kulenovic,TOR,4.0,7.0
p_kabasele,D,Kabasele,UDI,4.0,12.0
p_bertola,D,Bertola,UDI,4.0,10.0
