nome,squadra,pv,mv,fm
Pedersen,TOR,28.0,5.84,5.96
Ehizibue,UDI,27.0,5.83,5.96
Adopo,CAG,38.0,5.89,5.95
Djuric,CRE,11.0,5.95,5.95
Kossounou,ATA,17.0,5.79,5.94
Ismajli,TOR,24.0,5.96,5.94
Lucumì,BOL,28.0,5.91,5.93
Cutrone,PAR,15.0,5.73,5.93
Darmian,INT,6.0,5.92,5.92
Ramadani,LEC,37.0,5.97,5.92
Muharemovic,SAS,32.0,5.94,5.92
Balbo,FIO,6.0,5.92,5.92
Obert,CAG,34.0,5.97,5.91
Marusic,LAZ,33.0,5.8,5.91
De Silvestri,BOL,10.0,6.0,5.9
Frattesi,INT,15.0,5.9,5.9
Terracciano F.,CRE,36.0,5.93,5.9
Pierini,SAS,5.0,6.0,5.9
Bertola,UDI,25.0,5.92,5.9
Karlstrom,UDI,36.0,5.9,5.9
Piotrowski,UDI,31.0,5.84,5.9
Gueye,UDI,15.0,5.77,5.9
Romagnoli,LAZ,32.0,6.0,5.89
Lucca,NAP,9.0,5.61,5.89
Angori,PIS,35.0,5.86,5.89
Lipani,SAS,22.0,5.91,5.89
Frese,VER,31.0,5.89,5.89
Miller L.,UDI,19.0,5.87,5.89
Fortini,FIO,12.0,5.88,5.88
Ilic,TOR,8.0,6.0,5.88
Kamara H.,UDI,26.0,5.9,5.88
Rodriguez Ju.,CAG,16.0,5.78,5.88
Albiol,PIS,8.0,5.81,5.88
Ellertsson,GEN,35.0,5.8,5.87
Gila,LAZ,31.0,5.95,5.87
Siebert,LEC,19.0,5.79,5.87
Openda,JUV,15.0,5.67,5.87
Sergi Roberto,COM,14.0,5.96,5.86
Masini,GEN,22.0,5.93,5.86
Dele-Bashiru,LAZ,21.0,5.71,5.86
Ghilardi,ROM,21.0,5.88,5.86
Bradaric,VER,29.0,5.83,5.86
Bella-Kotchap,VER,18.0,5.94,5.86
Kolasinac,ATA,17.0,5.94,5.85
Ferguson,BOL,23.0,5.87,5.85
Marcandalli,GEN,31.0,5.89,5.85
De Winter,MIL,24.0,5.71,5.85
Provstgaard,LAZ,23.0,5.91,5.85
Estevez,PAR,24.0,5.85,5.85
Tourè I.,PIS,30.0,5.85,5.85
Sorensen O.,PAR,31.0,5.76,5.85
Dia,LAZ,25.0,5.66,5.84
Gabbia,MIL,29.0,5.91,5.84
Djimsiti,ATA,33.0,5.89,5.83
Prati,TOR,32.0,5.83,5.83
Tomori,MIL,32.0,5.92,5.83
Buongiorno,NAP,32.0,5.84,5.83
Mazzocchi,NAP,9.0,5.83,5.83
Hernani,PAR,3.0,5.83,5.83
Bayo V.,UDI,12.0,5.75,5.83
Oristanio,PAR,18.0,5.72,5.83
Gagliardini,VER,29.0,5.9,5.83
Zortea,BOL,28.0,5.79,5.82
Harroui,VER,17.0,5.71,5.82
Heggem,BOL,25.0,5.86,5.82
Akpa Akpro,VER,22.0,5.89,5.82
Aebischer,PIS,35.0,5.81,5.81
Troilo,PAR,21.0,5.88,5.81
Collocolo,CRE,5.0,5.9,5.8
Zerbin,CRE,30.0,5.77,5.8
Romagna,SAS,5.0,5.8,5.8
Arizala,UDI,5.0,5.8,5.8
Edmundsson,VER,15.0,6.03,5.8
Barbieri,CRE,26.0,5.9,5.79
Venturino,ROM,7.0,5.79,5.79
Caracciolo A.,PIS,35.0,5.81,5.79
Faye,CRE,7.0,5.86,5.79
Sulemana I.,CAG,18.0,5.69,5.78
Pierotti,LEC,37.0,5.73,5.78
Canestrelli,PIS,37.0,5.76,5.78
Zemura,UDI,16.0,5.88,5.78
Belahyane,LAZ,11.0,5.73,5.77
Akinsanmiro,PIS,24.0,5.77,5.77
Gineitis,TOR,28.0,5.82,5.77
Zarraga,UDI,13.0,5.81,5.77
Bianchetti,CRE,27.0,5.8,5.76
Meister,PIS,27.0,5.57,5.76
Sanabria,CRE,23.0,5.63,5.76
Payero,CRE,25.0,5.8,5.76
Niasse,VER,17.0,5.74,5.76
Bellanova,ATA,22.0,5.75,5.75
Liteta,CAG,4.0,5.75,5.75
Fazzini,FIO,12.0,5.79,5.75
Boloca,SAS,2.0,5.75,5.75
Slotsager,VER,6.0,5.75,5.75
Jashari,MIL,12.0,5.67,5.75
Braschi,FIO,2.0,5.75,5.75
Onana J.,GEN,2.0,5.75,5.75
Nkounkou,TOR,8.0,5.75,5.75
Coulibaly W.,SAS,18.0,5.81,5.75
Durosinmi,PIS,10.0,5.45,5.75
Trepy,CAG,4.0,5.75,5.75
Carboni F.,PAR,2.0,5.75,5.75
Ranieri L.,FIO,31.0,5.81,5.74
Veiga D.,LEC,36.0,5.86,5.74
Valenti,PAR,27.0,5.87,5.74
Comuzzo,FIO,24.0,5.73,5.73
Patric,LAZ,11.0,5.82,5.73
Rovella,LAZ,11.0,5.82,5.73
Marianucci,TOR,11.0,5.73,5.73
Olivera,NAP,24.0,5.79,5.73
Biraghi,TOR,11.0,5.73,5.73
Vitik,BOL,18.0,5.81,5.72
Floriani Mussolini,CRE,23.0,5.72,5.72
Walukiewicz,SAS,34.0,5.79,5.72
Doig,SAS,27.0,5.81,5.72
Anjorin,TOR,9.0,5.78,5.72
Ebosse,TOR,16.0,5.75,5.72
Pongracic,FIO,35.0,5.89,5.71
Tavares N.,LAZ,21.0,5.83,5.71
Maleh,CRE,21.0,5.69,5.71
Fullkrug,MIL,19.0,5.71,5.71
Kulenovic,TOR,7.0,5.64,5.71
Grassi,CRE,28.0,5.79,5.7
Jean,LEC,5.0,5.8,5.7
Piccinini G.,PIS,23.0,5.76,5.7
Vranckx,SAS,15.0,5.77,5.7
Zè Pedro,CAG,22.0,5.8,5.7
Ahanor,ATA,21.0,5.79,5.69
Sabelli,GEN,13.0,5.85,5.69
Pellegrini Lu.,LAZ,24.0,5.73,5.69
Ordonez C.,PAR,21.0,5.67,5.69
Ratkov,LAZ,8.0,5.69,5.69
Lazzari,LAZ,17.0,5.74,5.68
Estupinan,MIL,14.0,5.61,5.68
Vural,PIS,14.0,5.82,5.68
Lovric,VER,11.0,5.68,5.68
Gronbaek,GEN,3.0,5.83,5.67
Hysaj,LAZ,3.0,5.67,5.67
Bondo,CRE,27.0,5.76,5.67
Tameze,TOR,18.0,5.72,5.67
Ziolkowski,ROM,9.0,5.83,5.67
Amorim,GEN,9.0,5.72,5.67
Carnesecchi,ATA,37.0,6.43,5.65
Luvumbo,CAG,10.0,5.65,5.65
Suslov,VER,10.0,5.8,5.65
Dossena,CAG,11.0,5.77,5.64
Kaba,LEC,11.0,5.68,5.64
Camarda,LEC,18.0,5.67,5.64
Angelino,ROM,7.0,5.79,5.64
Loyola,PIS,11.0,5.45,5.64
Koopmeiners,JUV,30.0,5.72,5.63
Nelsson,VER,38.0,5.74,5.63
Pessina Mas.,BOL,4.0,6.12,5.62
Dzeko,FIO,8.0,5.69,5.62
Gaspar K.,LEC,21.0,5.81,5.62
Helgason,LEC,4.0,5.62,5.62
Lazaro,TOR,30.0,5.62,5.62
Aboukhlal,TOR,12.0,5.79,5.62
Mlacic,UDI,4.0,5.88,5.62
Bonfanti,PIS,9.0,5.67,5.61
Lykogiannis,BOL,9.0,5.67,5.61
Milinkovic-Savic V.,NAP,27.0,6.17,5.61
Britschgi,PAR,28.0,5.66,5.61
Tsimikas,ROM,14.0,5.64,5.61
Carboni V.,GEN,10.0,5.7,5.6
Ondrejka,PAR,15.0,5.67,5.6
Masina,TOR,5.0,5.4,5.6
Sarr A.,VER,29.0,5.64,5.6
Moumbagna,CRE,5.0,5.6,5.6
Juan Jesus,NAP,22.0,5.82,5.59
Immobile,BOL,6.0,5.67,5.58
Sohm,BOL,24.0,5.6,5.58
Moro L.,SAS,6.0,5.67,5.58
Goglichidze,UDI,6.0,5.75,5.58
Ngom,LEC,13.0,5.62,5.58
Helland,BOL,6.0,5.75,5.58
Tete Morente,LEC,15.0,5.57,5.57
Marin M.,PIS,21.0,5.74,5.57
Al-Musrati,VER,14.0,5.71,5.57
Calabresi,PIS,25.0,5.72,5.56
Candè,SAS,8.0,5.69,5.56
Casale,BOL,10.0,5.55,5.55
Pezzella Giu.,CRE,31.0,5.68,5.55
Ndaba,LEC,10.0,5.55,5.55
Oyegoke,VER,10.0,5.65,5.55
Unai Nunez,VER,17.0,5.79,5.53
Di Pardo,CAG,1.0,5.5,5.5
Richardson,FIO,1.0,5.5,5.5
Sabiri,FIO,1.0,5.5,5.5
Asllani,TOR,14.0,5.82,5.5
Rugani,FIO,8.0,5.62,5.5
Perez M.,LEC,1.0,5.5,5.5
Chukwueze,MIL,1.0,5.5,5.5
Lovik,PAR,6.0,5.5,5.5
Svilar,ROM,38.0,6.32,5.5
Palma,UDI,4.0,5.5,5.5
Fini,GEN,1.0,5.5,5.5
Bailey,ROM,5.0,5.5,5.5
Gorter,LEC,1.0,5.5,5.5
Stengs,PIS,1.0,5.5,5.5
Ambrosino,NAP,1.0,5.5,5.5
Lamptey,FIO,1.0,5.5,5.5
Iling Junior,PIS,3.0,5.5,5.5
Mikolajewski,PAR,1.0,5.5,5.5
Hojholt,PIS,15.0,5.53,5.47
Maignan,MIL,37.0,6.3,5.46
Ceccherini,CRE,8.0,5.5,5.44
Valentini N.,VER,19.0,5.63,5.42
Butez,COM,38.0,6.11,5.41
Gimenez,MIL,16.0,5.41,5.41
Otoa,GEN,10.0,5.65,5.4
Kouassi,LEC,4.0,5.38,5.38
Stojilkovic,PIS,12.0,5.38,5.38
Provedel,LAZ,27.0,6.28,5.37
Ndiaye,PAR,11.0,5.59,5.36
Viti,FIO,6.0,5.58,5.33
Di Gregorio,JUV,30.0,6.07,5.32
Marì,FIO,10.0,5.45,5.3
Lirola,VER,5.0,5.4,5.3
Falcone,LEC,38.0,6.45,5.26
Padelli,UDI,2.0,6.25,5.25
Denoon,PIS,2.0,5.5,5.25
Fofana Sa.,LEC,2.0,5.25,5.25
Skorupski,BOL,18.0,6.14,5.22
Martinez Jo.,INT,5.0,6.0,5.2
Morata,COM,18.0,5.47,5.19
Motta,LAZ,9.0,6.0,5.17
Corvi,PAR,17.0,6.24,5.15
Meret,NAP,11.0,6.18,5.14
Okoye,UDI,30.0,6.08,5.1
Turati,SAS,6.0,6.25,5.08
Perin,JUV,9.0,6.06,5.06
